root_cause_hint,workload_pattern,anomaly_count,critical_count,high_count,affected_devices,avg_anomaly_score
avg_latency_ms deviated from device baseline,latency_sensitive,346,30,10,5,1.6895797570993694
CPU I/O wait pressure indicates backend storage bottleneck,latency_sensitive,37,17,7,3,7.02722955929723
total_iops deviated from device baseline,burst_io,96,16,7,4,3.7089154629211443
total_throughput_mb_s deviated from device baseline,burst_io,27,16,5,4,5.924917440586832
queue_efficiency deviated from device baseline,latency_sensitive,164,13,17,4,3.061187582988252
Device saturation with queue buildup,latency_sensitive,90,13,7,3,3.7213188977325484
Small random I/O pressure reducing merge effectiveness,latency_sensitive,13,12,0,2,8.276895082989032
saturation_score deviated from device baseline,latency_sensitive,105,11,6,4,2.2363853528721327
iowait_pressure deviated from device baseline,burst_io,233,8,9,4,2.749066975452325
queue_efficiency deviated from device baseline,burst_io,44,8,6,2,4.070425938447056
total_iops deviated from device baseline,small_io_pressure,25,8,1,2,4.791501128816278
queue_efficiency deviated from device baseline,balanced,188,5,9,4,2.5942926245796216
saturation_score deviated from device baseline,burst_io,236,4,10,3,2.6438433890014856
total_iops deviated from device baseline,latency_sensitive,107,3,16,4,3.2392619468760184
saturation_score deviated from device baseline,saturated,106,2,7,5,2.3737988216441543
iowait_pressure deviated from device baseline,latency_sensitive,36,1,2,4,2.145599190692829
queue_efficiency deviated from device baseline,small_io_pressure,30,1,9,3,3.4057220146237808
queue_efficiency deviated from device baseline,saturated,8,1,0,2,3.1108775760040825
saturation_score deviated from device baseline,balanced,238,0,5,4,1.883725574347858
merge_efficiency deviated from device baseline,balanced,229,0,22,5,3.004159066629144
iowait_pressure deviated from device baseline,balanced,126,0,0,3,1.6602987097321917
iowait_pressure deviated from device baseline,saturated,114,0,0,3,1.6421756559243725
avg_latency_ms deviated from device baseline,balanced,67,0,1,2,1.2193775131336242
total_iops deviated from device baseline,saturated,44,0,0,2,2.0745432288489405
avg_latency_ms deviated from device baseline,burst_io,34,0,16,2,3.9390222691995653
merge_efficiency deviated from device baseline,latency_sensitive,31,0,0,1,2.8590569869397484
iowait_pressure deviated from device baseline,small_io_pressure,21,0,1,2,2.7186652313160438
total_throughput_mb_s deviated from device baseline,latency_sensitive,21,0,2,3,3.1844484407096565
total_throughput_mb_s deviated from device baseline,balanced,18,0,0,3,2.9933166499233135
saturation_score deviated from device baseline,small_io_pressure,17,0,0,3,2.450432737011213
Device saturation with queue buildup,saturated,9,0,0,1,1.8264906404337244
total_throughput_mb_s deviated from device baseline,saturated,9,0,0,2,2.906288394433065
CPU I/O wait pressure indicates backend storage bottleneck,small_io_pressure,6,0,4,1,4.583233136005335
merge_efficiency deviated from device baseline,saturated,5,0,0,2,2.6373173866727
total_iops deviated from device baseline,balanced,5,0,0,2,2.8361803312222973
merge_efficiency deviated from device baseline,burst_io,2,0,0,2,2.810269925247595
CPU I/O wait pressure indicates backend storage bottleneck,saturated,1,0,0,1,2.8797300284833525
avg_latency_ms deviated from device baseline,saturated,1,0,0,1,1.3831330548466276
avg_latency_ms deviated from device baseline,small_io_pressure,1,0,0,1,1.5730011635972685
